"","SRR15885102","SRR15885103","SRR15885104","SRR15885105","SRR15885106","SRR15885107","SRR15885108","SRR15885109","SRR15885110","SRR15885111","SRR15885112","SRR15885113","SRR15885114","SRR15885115","SRR15885116","SRR15885117","SRR15885118","SRR15885119","SRR15885120","SRR15885121","SRR15885122","SRR15885123","SRR15885124","SRR15885125","SRR15885126","SRR15885127","SRR15885128","SRR15885129","SRR15885130","SRR15885131","SRR15885132","SRR15885133","SRR15885134","SRR15885135","SRR15885136","SRR15885137","SRR15885138","SRR15885139","SRR15885140","SRR15885141","SRR15885142","SRR15885143","SRR15885144","SRR15885145","SRR15885146","SRR15885147","SRR15885148","SRR15885149","SRR15885150","SRR15885151","SRR15885152","SRR15885153","SRR15885154","SRR15885155","SRR15885156","SRR15885157","SRR15885158","SRR15885159","SRR15885160","SRR15885161","SRR15885162","SRR15885163","SRR15885164","SRR15885165","SRR15885166","SRR15885167","SRR15885168","SRR15885169","SRR15885170","SRR15885171","SRR15885172","SRR15885173","SRR15885174","SRR15885175","SRR15885176","SRR15885177","SRR15885178","SRR15885179","SRR15885180","SRR15885181","SRR15885182","SRR15885183","SRR15885184","SRR15885185","SRR15885186","SRR15885187","SRR15885188","SRR15885189","SRR15885190","SRR15885191","SRR15885192","SRR15885193","SRR15885194","SRR15885195","SRR15885196","SRR15885197","SRR15885198","SRR15885199","SRR15885200","SRR15885201","SRR15885202","SRR15885203","SRR15885204","SRR15885205","SRR15885206","SRR15885207","SRR15885208","SRR15885209","SRR15885210","SRR15885211","SRR15885212","SRR15885213","SRR15885214","SRR15885215","SRR15885216","SRR15885217","SRR15885218","SRR15885219","SRR15885220","SRR15885221","SRR15885222","SRR15885223","SRR15885224","SRR15885225","SRR15885226","SRR15885227","SRR15885228","SRR15885229","SRR15885230","SRR15885231","SRR15885232","SRR15885233","SRR15885234","SRR15885235","SRR15885236","SRR15885237","SRR15885238","SRR15885239","SRR15885240","SRR15885241","SRR15885242","SRR15885243","SRR15885244","SRR15885245","SRR15885246","SRR15885247","SRR15885248","SRR15885249","SRR15885250","SRR15885251","SRR15885252","SRR15885253","SRR15885254","SRR15885255","SRR15885256","SRR15885257","SRR15885258","SRR15885259","SRR15885260","SRR15885261","SRR15885262","SRR15885263","SRR15885264","SRR15885265","SRR15885266","SRR15885267","SRR15885268","SRR15885269","SRR15885270","SRR15885271","SRR15885272","SRR15885273","SRR15885274","SRR15885275","SRR15885276","SRR15885277","SRR15885278","SRR15885279","SRR15885280","SRR15885281","SRR15885282","SRR15885283","SRR15885284","SRR15885285","SRR15885286","SRR15885287","SRR15885288","SRR15885289","SRR15885290","SRR15885291","SRR15885292","SRR15885293","SRR15885294","SRR15885295","SRR15885296","SRR15885297","SRR15885298","SRR15885299","SRR15885300","SRR15885301","SRR15885302","SRR15885303","SRR15885304","SRR15885305","SRR15885306","SRR15885307","SRR15885308","SRR15885309","SRR15885310","SRR15885311","SRR15885312","SRR15885313","SRR15885314","SRR15885315","SRR15885316","SRR15885317","SRR15885318","SRR15885319","SRR15885320","SRR15885321","SRR15885322","SRR15885323","SRR15885324","SRR15885325","SRR15885326","SRR15885327","SRR15885328","SRR15885329","SRR15885330","SRR15885331","SRR15885332","SRR15885333","SRR15885334","SRR15885335","SRR15885336","SRR15885337","SRR15885338","SRR15885339","SRR15885340","SRR15885341","SRR15885342","SRR15885343","SRR15885344","SRR15885345","SRR15885346","SRR15885347","SRR15885348","SRR15885349","SRR15885350","SRR15885351","SRR15885352","SRR15885353","SRR15885354","SRR15885355","SRR15885356","SRR15885357","SRR15885358","SRR15885359","SRR15885360","SRR15885361","SRR15885362","SRR15885363","SRR15885364","SRR15885365","SRR15885366","SRR15885367","SRR15885368","SRR15885369","SRR15885370","SRR15885371","SRR15885372","SRR15885373","SRR15885374","SRR15885375","SRR15885376","SRR15885377","SRR15885378","SRR15885379","SRR15885380","SRR15885381","SRR15885382","SRR15885383","SRR15885384","SRR15885385","SRR15885386","SRR15885387","SRR15885388","SRR15885389","SRR15885390","SRR15885391","SRR15885392","SRR15885393","SRR15885394","SRR15885395","SRR15885396","SRR15885397","SRR15885398","SRR15885399","SRR15885400","SRR15885401","SRR15885402","SRR15885403","SRR15885404","SRR15885405","SRR15885406","SRR15885407","SRR15885408","SRR15885409","SRR15885410","SRR15885411"
"Lachnospiraceae_Hungatella",0,0,0,0,38,45,129,30,271,1513,56,0,0,180,97,77,32,24,789,0,0,0,31,0,0,0,0,0,0,0,571,0,0,0,0,9,0,0,0,4,0,0,52,0,0,0,0,0,0,0,25,0,0,0,32,0,0,38,0,613,0,0,0,44,0,0,24,62,22,0,0,0,0,728,0,8,0,0,20,30,8,0,0,124,50,965,0,63,0,14,39,0,0,12,20,340,70,160,191,178,13729,77,36,16,18,92,1587,156,0,28,77,41,0,0,16,0,61,251,0,62,25,0,0,91,114,19,15,229,1148,28,0,0,632,7,42,13,295,0,0,0,44,221,56,49,29,0,24,13,15,62,31,12,0,0,0,0,0,80,0,0,0,12,32,0,0,34,0,0,0,0,0,253,0,0,32,0,0,0,145,0,164,0,0,311,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,21,0,0,35,0,6,0,26,0,0,58,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,55,0,0,0,0,0,0,0,16,0,0,0,0,68,37,17,0,12,0,0,263,1042,0,0,13,0,15,17,37,0,0,0,0,0,0,163,0,13,0,0,0,0,0,75,521,0,0,0,0,0,0,0,0,156,81,0,15,23,96,0,0,19,0,246,63,3720,0,123,0,48,129,0,0,24,15,16,28,8,0,0
"Ruminococcaceae_CAG.352",53,0,0,0,387,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,2849,0,0,0,0,15,0,0,0,0,0,0,0,423,553,0,0,0,2585,0,510,1160,197,0,0,0,188,0,0,0,0,0,373,343,25,0,263,0,0,0,47,0,0,21,7,4863,0,0,0,324,4,8,0,0,0,0,0,0,0,14,0,527,0,185,31,0,0,0,21,0,0,0,0,15,0,0,0,2,45,0,0,0,0,0,550,0,0,35,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,14,0,140,0,0,20,0,0,0,0,0,0,0,0,567,0,0,766,20,670,335,0,6,15,0,184,46,0,916,59,115,221,0,14,36,0,10,0,8,94,0,0,0,0,0,0,0,0,605,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3560,0,0,0,0,12,0,0,0,0,51,0,86,0,0,75,0,0,0,0,33,0,0,0,13,0,30,7006,11,23,0,0,0,12,0,0,0,2,0,0,15,0,7263,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,343,0,0,73,15,6,0,0,0,0,0,0,0,183,4739,0,0,0,0,0,13,0,650,0,0,0,0,0,29,0,22,113,0,0,0,0,94,12,0,0,0,0,0,721,0,1220,287,0,0,0,0,0,0,369,29,143,0
"Peptostreptococcaceae_Peptostreptococcus",0,0,0,0,0,49,1026,0,169,0,93,42,2620,0,25,32,0,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,434,0,0,0,0,0,0,0,0,193,0,0,213,0,0,0,0,0,0,0,0,0,0,0,2218,5,0,0,0,79,0,6,0,0,27,4,127,0,0,0,0,43,13,449,127,42,104,15,2633,12,173,87,0,2297,0,51,0,0,39,6,2325,2812,26,9,16,27,0,50,104,0,245,900,66,0,0,2433,3487,9,799,29,0,24,0,7,11,12,35,115,108,12,0,0,0,68,436,586,5,539,0,71,19,10,0,71,142,9,0,0,0,42,17,89,0,92,17,6,12,0,11,0,0,0,0,0,309,133,0,0,0,459,4,218,31,0,4,0,6,176,2,0,92,4,150,0,33,0,10,4,0,9,0,0,0,9,54,83,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,15,0,0,0,55,0,0,0,0,0,0,0,58,0,0,128,0,0,0,0,2,0,0,0,69,3624,260,8,90,363,725,0,6,247,19,0,7,0,275,0,0,22,0,3,0,0,109,4,0,0,28,139
"Prevotellaceae_Prevotella",5265,0,13,0,0,0,1,21,0,1,43,0,1123,1,0,136,0,0,0,3,0,0,0,0,1048,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,399,20,0,826,0,0,1717,4,3,0,3,0,169,5,0,0,0,1,1,0,2,1,0,679,0,0,195,0,2,0,0,0,0,0,0,396,0,3,42,0,778,2033,0,0,0,0,296,0,8,681,32,0,0,2,0,27,0,14319,1,0,9,12,2323,4,185,10,0,352,9,24,0,6,672,19,33,983,0,4,2,94,0,16,0,3,542,6,2353,97,10,0,3,5,21,5,0,0,14763,0,1251,0,6,0,0,199,0,13,44,147,11029,288,0,357,0,48,19,26,10,0,51,2390,9,830,5,3,46,4,80,48,12,10,2,3,0,26,0,0,0,0,7,185,0,0,0,0,15,213,243,0,0,19,5,170,1667,496,0,0,50,0,0,14,0,705,48,4,0,1,8,1498,30,349,0,2341,0,2794,0,2,0,0,0,0,10,3,0,0,0,16,0,6,9,4,4,0,0,0,0,2,0,0,0,0,7,0,4,0,4302,405,0,0,3,2276,0,2,2,1058,0,0,0,0,4,0,1431,0,0,26,0,5,0,1524,5943,0,775,0,0,4,2,2700,0,6,2,2,0,2,0,347,1064,2784,5,0,15,394,1297,0,469,0,9,0,8,5,0,0,0,0,0,3,500,12,36,2,1346,2185
"Lachnospiraceae_Fusicatenibacter",61,43,152,10,165,88,93,19,7,0,122,0,39,0,0,74,0,24,0,9,92,239,174,0,19,1046,240,342,1010,29,0,2429,214,64,832,164,100,1782,100,231,614,0,78,94,295,72,519,170,170,406,657,140,50,447,90,0,180,0,780,1768,1144,267,389,129,122,328,22,0,494,230,28,211,289,130,14,62,2364,0,0,28,0,18,202,0,19,0,20,0,0,57,86,0,0,142,19,41,13,8,0,14,0,0,83,0,17,0,0,0,41,63,0,333,22,37,0,45,0,7,0,42,15,69,13,66,22,26,34,12,865,20,0,0,0,513,0,34,0,0,19,0,48,0,36,0,101,0,0,544,0,155,115,48,81,191,461,208,41,0,661,619,91,45,151,173,30,3524,304,848,2217,111,0,0,309,0,204,125,35,213,274,0,48,117,0,36,0,0,0,0,0,397,0,0,0,0,0,72,25,48,0,0,471,0,0,1872,0,0,383,56,0,208,88,213,308,0,208,497,88,232,105,33,135,119,323,700,83,62,47,40,312,166,64,682,222,80,132,538,92,671,94,545,681,375,0,304,0,226,67,109,394,37,10,1,229,93,760,230,363,857,0,109,60,228,0,58,49,243,223,29,93,137,26,0,128,21,204,10,75,61,0,52,0,53,16,28,7,28,72,0,65,40,34,75,95,0,16,0,931,116,252,0,0,0,466,0,0,0,20,109,8,0
"Lachnospiraceae_Lachnospiraceae.UCG.010",411,20,153,0,879,1092,452,2776,1221,0,26,18,1128,0,283,37,9,359,16,28,5,187,130,0,0,27,73,33,14,73,0,9,39,65,167,0,26,182,104,129,0,513,0,53,0,25,119,0,82,367,0,53,0,48,0,0,63,0,329,3,209,68,19,530,36,0,278,29,13,232,64,35,0,0,13,146,0,0,312,4369,1184,231,21,376,1259,7,96,0,96,1007,809,14,0,141,144,263,520,3223,0,5,0,747,17,151,203,743,0,0,0,13,10,541,210,753,227,984,181,8,0,21,5,830,73,9,681,0,0,106,0,433,368,0,845,68,201,569,665,5,7,0,525,0,85,435,831,11,856,659,1445,447,196,431,0,390,71,102,103,2,0,23,9,819,719,37,10,16,46,0,409,97,0,0,7,78,202,30,8,36,115,0,0,152,0,0,15,109,41,35,12,630,0,10,418,57,103,133,1509,309,32,2,388,1326,0,272,128,32,182,13,1147,541,60,110,55,0,886,72,42,196,16,0,27,0,131,0,0,33,19,8,0,35,0,46,86,26,49,33,30,13,126,15,167,0,0,0,640,884,165,6,227,0,6,0,58,0,0,27,0,124,19,0,191,135,13,13,282,524,361,294,161,241,272,740,105,0,419,477,0,121,35,14,0,61,83,0,2783,496,124,0,319,138,29,16,288,0,224,74,200,610,17,135,1109,627,420,0,126,118,1362,172,83,48
"Lachnospiraceae_Dorea",38,513,113,23,282,351,271,28,0,0,920,22,511,30,92,159,132,143,179,96,99,76,607,0,9,42,170,137,41,473,186,661,142,65,76,201,64,586,49,325,176,39,71,137,30,362,63,100,298,430,143,83,172,99,1280,0,52,40,586,36,329,128,204,265,122,136,139,6,154,206,76,47,237,525,146,132,168,0,1138,124,64,82,82,0,0,21,66,50,8,194,991,5,0,246,10,54,248,139,7,0,0,41,942,68,114,10,0,129,173,728,41,55,134,798,1005,382,73,28,0,93,133,241,114,123,330,0,1065,760,480,1958,122,0,32,1027,2425,869,0,0,68,0,1245,0,361,0,223,0,136,1146,13,110,52,125,130,153,94,757,370,119,318,302,149,99,1372,105,21,584,125,46,389,93,189,0,1512,72,170,194,19,74,641,46,749,87,0,1097,8,22,729,0,859,545,0,0,55,556,219,27,1590,250,85,302,51,100,49,436,77,80,362,342,681,78,50,233,81,19,73,183,107,532,55,62,81,133,151,0,40,53,59,254,222,40,439,34,280,193,394,240,51,142,249,44,403,0,234,98,23,295,100,14,439,60,0,0,271,249,400,57,17,215,85,256,459,1433,0,45,40,297,23,165,104,43,187,326,110,63,187,112,77,110,698,38,261,165,165,400,228,547,549,10,208,49,384,979,309,0,67,0,13,50,905,81,118,43,113,72,228,22,28,73,61,7
"Lachnospiraceae_Anaerostipes",10,12,15,79,0,545,255,25,14,2724,138,23,873,0,86,0,6,177,705,9,11,6,0,0,0,0,41,20,103,12,0,78,10,19,0,17,6,462,8,0,122,0,65,27,150,0,43,338,13,339,36,0,10,15,598,59,40,506,473,0,854,8,51,598,28,8,0,548,205,26,77,5,57,0,13,0,56,0,180,11,0,16,8,0,0,302,10,12,6,253,196,0,0,155,0,34,27,0,50,15,9,0,411,126,11,0,2769,0,143,115,0,34,0,284,126,646,51,0,0,0,0,5,7,62,0,0,17,388,609,29,0,0,0,381,286,118,0,0,10,0,1494,1729,21,0,0,0,277,33,0,13,22,0,0,32,99,0,0,0,25,49,0,211,0,0,49,865,19,59,27,0,0,43,1612,0,498,7,0,0,12,0,501,63,37,0,0,27,4,0,40,126,0,0,0,21,21,27,0,11,0,11,132,164,6,140,0,35,793,29,19,109,0,193,156,0,80,48,8,132,54,9,25,169,216,17,45,63,0,41,18,29,464,35,528,0,14,41,148,36,34,12,48,1519,2523,153,0,54,36,0,45,9,10,6,7,0,104,8,699,100,0,20,0,0,0,37,54,26,0,0,35,265,0,11,61,0,37,4,90,0,0,0,0,375,9,20,0,5,252,0,149,16,0,483,31,0,13,24,120,72,1287,23,0,40,236,17,65,0,18,87,0,4
"Sutterellaceae_Parasutterella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,101,79,0,45,0,44,0,4,0,247,0,0,0,1245,123,0,0,258,0,0,0,0,0,41,43,0,0,0,0,0,0,264,0,0,99,0,0,141,672,0,156,0,4,0,0,0,17,0,0,582,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2554,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145,566,0,77,0,152,278,0,0,987,0,0,525,27,0,5,110,21,0,0,0,10,9,0,1040,0,0,7,89,0,0,0,514,0,10269,6165,0,7,0,46,0,2,14,0,1340,4,9,0,0,0,0,1010,888,0,0,0,5,0,0,0,0,0,0,251,5,0,8,46,0,0,0,0,0,0,16,37,0,0,0,0,0,0,23,0,0,0,0,0,38,5609,0,0,0,0,0,125,9,75,4,14,0,0,0,2,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,14,1934,218,28,26,0,0,14,0,0,0,0,0,9,0,0,19,0,0,0,46,0,0,0,0,0,0,0,656,0,5,36,0
"Lachnospiraceae_Coprococcus",488,987,171,0,306,223,0,323,500,0,183,27,1035,0,195,521,100,9,0,14,153,445,0,0,85,314,1846,219,238,142,100,1470,101,369,343,198,174,1153,274,773,0,843,0,3510,0,516,1279,6175,510,36,609,871,76,1005,552,120,327,0,284,313,252,428,571,101,155,0,502,0,253,590,360,516,137,0,233,252,6,0,715,347,46,48,223,0,0,0,277,120,0,238,348,0,0,0,5,183,0,90,0,0,0,40,0,80,509,253,0,0,0,115,0,34,263,750,626,878,170,0,0,367,108,76,33,0,323,0,605,0,368,125,108,0,33,81,514,0,0,0,310,0,64,0,0,45,429,0,1406,1484,15,234,125,308,385,78,16,1598,175,215,990,1291,116,148,384,84,732,6,990,0,680,282,269,0,2262,33,0,2580,150,418,144,0,4,185,0,0,0,421,549,51,192,298,0,0,471,23,41,8,203,217,18,38,1592,16,0,575,0,216,101,823,74,462,1301,522,380,0,26,394,202,900,82,35,44,0,101,0,0,122,146,185,21,380,0,403,1687,1004,433,3641,0,1081,421,445,214,0,0,84,7,0,26,405,621,81,16,0,862,365,0,914,30,835,105,0,578,82,0,75,54,127,171,0,232,68,333,40,95,188,121,3067,104,584,0,399,265,41,54,0,290,2193,110,0,0,806,571,381,228,0,0,0,236,0,387,22,0,634,287,47,141,11,71,258,455,0
"Lachnospiraceae_Lachnospiraceae.NK4A136.group",983,211,813,0,95,108,761,112,37,28,69,121,180,40,108,0,45,0,0,91,207,326,26,0,0,128,902,215,56,298,0,454,14,542,597,11,404,133,137,665,228,216,71,534,178,226,536,438,790,518,59,130,524,405,534,29,200,151,135,70,181,375,581,150,19,40,838,0,168,427,549,106,0,344,133,617,12,17,157,120,1281,130,207,0,486,816,1246,14,16,677,379,8,0,64,173,48,72,35,82,146,138,2212,92,259,716,0,0,26,25,0,52,211,157,142,82,48,91,69,8,54,26,125,1070,159,234,15,32,0,119,375,21,69,126,253,4,91,19,39,299,73,35,0,216,28,60,0,89,300,30,103,260,493,432,0,39,405,322,37,185,91,36,399,442,100,292,4,134,776,124,217,6,209,29,129,1441,2087,103,193,98,60,0,491,13,94,23,445,16,10,0,54,10,53,10,47,0,174,231,327,125,50,116,9,13,257,21,461,359,82,106,2650,1195,236,2664,0,110,2191,225,75,585,39,135,260,114,6,25,340,100,119,113,17,58,71,4309,214,544,210,230,125,212,482,160,15,8,742,298,1234,13,619,467,76,266,6,1523,102,19,457,173,361,135,49,712,289,35,0,436,50,68,110,246,566,230,0,109,70,35,2419,249,201,0,96,24,453,1364,21,336,1355,461,8,282,200,199,210,259,0,51,0,701,573,498,0,81,146,47,10,135,16,122,719,49,60
"Veillonellaceae_Megasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3924,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1925,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,7841,0,145,0,0,0,46,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,18,20,0,0,0,37,0,47,0,0,3,0,0,23,0,4,0,0,243,5,37,0,7,0,27,26,22,25,0,0,0,0,0,0,0,0,0,0,0,0,18,1181,0,0,0,0,0,0,0,0,0,0,836,0,0,105,0,0,0,43,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"Veillonellaceae_Veillonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,13,0,7,0,0,0,91,0,0,0,0,24,0,11,49,0,0,0,33,0,51,10,0,0,26,0,0,0,0,0,0,0,0,0,492,1162,0,17,0,0,0,0,0,0,0,0,8,580,0,0,0,0,0,0,0,0,2,0,0,44,0,0,0,119,0,30,435,0,0,0,0,14,0,0,0,0,0,12,0,0,2,0,0,0,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,42,0,15,0,0,4,0,0,0,74,0,81,10,0,12,77,25,0,393,0,0,102,6,34,0,35,14791,10,874,81,0,10,10,13,3027,0,16,19,78,13,0,20,0,26,351,41,0,487,131,0,0,32,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,110,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,9,3,25,0,51,0,0,0,153,0,0,0,0,12,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,664,0,19,0,0,0,0,0,0,0,0,0,59,0,0,85,0,0,0,14,0,0,0,0,1884,0,43,0,0,0,0,140
"Lachnospiraceae_Lachnospiraceae.UCG.004",77,0,79,262,432,24,57,0,0,0,0,0,56,40,59,45,0,0,0,1088,151,77,1,0,38,116,185,135,338,4,18,12,18,807,188,18,170,71,64,41,495,66,603,150,93,41,96,0,101,5,1,30,31,31,266,54,538,190,0,142,27,82,152,191,0,160,0,827,27,30,53,121,108,128,0,3,223,0,69,713,526,431,72,0,8,2482,114,12,0,80,481,0,0,338,37,67,0,11,4,0,0,136,385,0,0,0,0,0,38,19,0,462,11,82,79,17,49,24,0,30,0,163,7,0,27,0,97,11,3636,182,14,0,59,52,0,204,5,1,0,0,0,0,290,5,453,0,9,30,0,0,0,0,40,50,167,0,107,1257,186,204,40,0,46,27,230,147,37,1529,1177,30,0,8862,394,142,371,193,139,0,142,2,742,1116,0,0,0,7,0,0,54,3,0,1,13,4,36,12,300,24,90,0,36,18,0,20,0,25,64,50,488,4,53,94,77,0,413,146,216,523,17,60,69,399,30,0,39,0,61,538,254,414,748,48,31,21,187,112,173,0,216,79,268,583,0,168,184,306,90,206,221,57,0,0,46,61,452,10,199,289,89,273,239,21,11,97,636,11,20,179,305,112,34,0,111,5,25,469,271,251,210,0,0,385,4,0,45,65,2,0,14,34,184,63,36,0,59,6,0,9,20,14,0,43,333,73,19,0,5,0,12,0
"Oscillospiraceae_UCG.005",559,298,748,0,349,13,0,198,1894,8,14,46,1419,14,79,17,6,0,0,17,60,1126,0,0,0,112,694,174,17,329,920,704,0,50,158,0,104,19,572,582,19,63,7,420,0,413,7,2290,51,281,9,666,507,239,9,19,29,9,549,7775,14,480,349,221,120,0,547,0,193,1289,1429,146,117,22,407,778,12,56,11,242,408,47,139,0,0,0,4032,17,0,480,11,13,11,58,82,399,0,131,6,0,18,645,26,2412,415,1219,6,7,11,0,0,627,250,547,0,1444,51,0,12,0,0,7,34,10,2145,0,0,0,438,12,0,0,381,33,0,0,321,0,1062,0,46,0,206,7078,389,0,0,1408,193,3432,1438,1084,2615,35,15,427,43,0,30,233,25,587,497,22,38,0,1042,0,15,724,0,0,0,102,72,1583,0,357,64,419,0,32,3,0,0,379,944,0,9,2118,208,349,13,146,6,297,0,665,61,711,0,39,21,457,0,630,0,70,53,352,444,1352,1607,11,20,1107,218,8,191,0,78,0,189,3,7,1629,0,61,0,24,0,43,2302,545,829,130,160,719,239,1443,156,0,0,183,35,16,329,458,53,22,37,0,987,1957,0,1271,0,31,25,0,239,147,0,3,23,372,93,51,28,163,312,0,56,1563,57,266,81,681,0,64,1184,10,54,0,4218,341,138,0,14,231,103,0,283,0,851,0,220,0,0,0,0,190,215,6,813,634,1770,1550,287,0
"Prevotellaceae_Prevotella_7",0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,174,0,0,0,0,0,0,0,0,0,252,0,13,0,0,0,0,0,0,0,0,7801,0,0,0,2558,0,3,0,3,0,21,3,0,0,0,0,11,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1526,0,0,1,3,1899,0,0,0,0,4,0,0,0,0,0,0,7883,0,0,5,0,0,2,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,11,6538,3,6,0,40,0,0,43,0,0,4,0,0,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,208,0,0,16,0,0,0,0,0,10,136,0,0,3,0,0,0,8,0,13,0,0,0,9373,0
"Lachnospiraceae_Tuzzerella",9,0,0,0,10,11,0,0,0,3987,31,0,0,0,0,0,0,8,66,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,4,0,0,205,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,32,154,0,0,0,0,6,25,0,14,0,0,6,26,0,0,0,0,0,3931,0,0,37,6,29,7,0,0,0,18,0,13,0,0,0,5,0,0,0,7034,10,0,0,0,0,0,0,659,0,382,0,0,0,511,210,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,952,0,0,0,0,0,0,0,913,0,10,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,56,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,8,33,0,25,89,0,0,0,0,5,10,0,70,0,0,0,0,0,12,0,13,0,0,0,4,0,0,0,10,114,0,5,276,0,0,0,9,0,0,0,0,0,0,0,0,188
"Barnesiellaceae_Barnesiella",406,711,388,0,1661,345,0,0,1537,0,0,11,4235,0,0,0,20,65,0,0,8,924,0,0,3,0,6,25,0,295,0,0,0,0,41,4,91,0,437,247,0,82,0,0,0,92,21,34,49,259,0,0,0,41,0,89,0,0,0,227,17,528,147,0,0,0,237,0,0,589,106,0,29,0,699,901,0,0,0,0,0,0,0,0,0,0,224,0,8,145,0,0,0,0,0,250,0,30,0,0,0,123,0,234,234,1197,0,0,0,0,0,0,0,0,0,3629,0,0,0,0,21,0,131,0,0,3815,0,0,0,0,1,0,287,115,0,6752,46,0,22,0,564,0,0,111,1394,0,0,1308,5,0,1898,0,1468,182,0,2,103,26,0,0,0,130,0,63,175,0,1118,0,0,0,0,0,1,0,1027,208,22,107,0,1214,0,143,0,0,0,0,1327,0,40,21,21,0,40,0,2391,0,0,1212,18,1309,78,504,0,4,2583,6077,0,64,61,49,130,314,58,0,0,776,133,0,66,0,320,0,0,0,0,296,0,0,330,0,0,73,63,132,553,62,0,773,177,107,64,116,0,111,0,134,0,876,57,0,0,0,150,267,0,75,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,272,205,15,88,132,0,729,1957,100,174,0,34,6,0,0,0,5,29,0,473,0,154,0,25,0,11,0,0,0,0,0,0,4077,207,4712,150,5
