"","ERR3446872","ERR3446873","ERR3446874","ERR3446875","ERR3446876","ERR3446877","ERR3446878","ERR3446879","ERR3446880","ERR3446881","ERR3446882","ERR3446883","ERR3446884","ERR3446885","ERR3446886","ERR3446887","ERR3446888","ERR3446889","ERR3446890","ERR3446891","ERR3446892","ERR3446893","ERR3446894","ERR3446895","ERR3446896","ERR3446897","ERR3446898","ERR3446899","ERR3446900","ERR3446901","ERR3446902","ERR3446903","ERR3446904","ERR3446905","ERR3446906","ERR3446907","ERR3446908","ERR3446909","ERR3446910","ERR3446911","ERR3446912","ERR3446913","ERR3446914","ERR3446915","ERR3446916","ERR3446917","ERR3446918","ERR3446919","ERR3446920","ERR3446921","ERR3446922","ERR3446923","ERR3446924","ERR3446925","ERR3446926","ERR3446927","ERR3446928","ERR3446929","ERR3446930","ERR3446931","ERR3446932","ERR3446933","ERR3446934","ERR3446935","ERR3446936","ERR3446937","ERR3446938","ERR3446939","ERR3446941","ERR3446942","ERR3446943","ERR3446944","ERR3446945","ERR3446946","ERR3446947","ERR3446948","ERR3446949","ERR3446950","ERR3446951","ERR3446952","ERR3446953","ERR3446954","ERR3446955","ERR3446956","ERR3446957","ERR3446958","ERR3446959","ERR3446960","ERR3446961","ERR3446962","ERR3446963","ERR3446964"
"Lactobacillaceae_Ligilactobacillus",0,0,0,0,0,330,0,0,0,0,0,450,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,236,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_.Ruminococcus..gauvreauii.group",0,0,0,41,29,0,0,41,0,0,47,19,59,700,82,32,52,102,46,20,0,93,71,472,0,678,700,63,61,0,36,0,0,75,0,25,0,31,27,38,0,33,18,0,74,39,49,100,91,58,45,93,0,782,34,0,33,90,216,66,0,41,0,0,4,0,0,30,0,0,0,122,36,0,0,76,33,0,23,50,37,0,0,25,0,0,0,16,48,7,0,0
"Oscillospiraceae_Oscillibacter",12,0,38,9,0,14,149,10,0,0,0,0,6,0,280,6,5,0,5,0,3,24,10,20,36,110,0,29,21,22,0,10,62,0,14,0,0,19,0,86,26,40,17,0,0,19,29,0,0,0,0,7,43,255,0,198,13,0,14,32,49,8,0,8,9,25,2,20,26,0,4,0,0,0,4,3,0,0,25,2,0,0,0,12,0,12,0,0,46,0,92,28
"Monoglobaceae_Monoglobus",37,56,9,26,23,5,22,3,30,0,0,71,42,0,0,40,35,29,33,44,34,43,33,0,129,29,159,24,42,27,11,144,83,151,0,25,167,82,63,0,0,23,21,411,38,83,103,43,0,29,22,0,0,91,48,11,43,104,97,39,18,38,5,0,7,13,0,24,0,0,46,0,67,33,0,21,2,12,0,59,26,5,64,12,0,4,42,38,25,18,6,7
"Lachnospiraceae_Lachnospiraceae.UCG.010",0,0,17,0,0,4,61,0,50,0,0,0,6,208,0,0,14,82,8,3,11,0,0,0,0,0,0,0,15,4,0,9,0,0,18,15,0,0,0,32,16,0,0,13,0,13,0,19,19,4,0,0,13,0,200,0,0,0,67,85,24,27,31,24,0,0,13,25,27,87,12,57,0,3,470,2,0,0,32,12,18,10,0,0,0,0,0,35,24,31,33,3
"Selenomonadaceae_Megamonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,0,4,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_.Clostridium..innocuum.group",0,0,0,0,0,0,0,0,11,86,0,69,0,727,4,0,0,0,0,0,0,0,0,21,78,53,0,60,5,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,25,0,0,0,0,92,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Lachnospiraceae_.Ruminococcus..gnavus.group",0,0,0,0,0,0,11,0,0,110,0,843,0,544,135,0,0,15,0,0,0,14,0,0,0,87,21,0,0,0,0,0,0,0,0,0,0,28,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,0,0,0,0,90,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,66,0,0,0,0,707,0,0,0,0,0,0,70,0
"Erysipelotrichaceae_Solobacterium",0,0,0,0,0,294,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,309,0,17,0,0,0,0,138,0,0,0,8,0,73,27,7,0,0,0,14,5,6,0,192,0,12,0,0,0,159,11,36,0,126,0,0,0,0,0,0,8,0,0
"Family.XI_Parvimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,31,10,717,42,0,27,0,0,12,147,8,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridiaceae_Coprobacillus",0,0,0,2,0,0,34,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,140,2,7,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_.Eubacterium..xylanophilum.group",10,13,31,0,76,0,0,0,3,0,23,0,14,0,0,5,8,0,16,7,9,31,22,0,0,0,0,0,12,33,7,0,8,42,15,4,4,9,14,0,0,19,3,141,17,0,8,12,21,0,0,0,5,0,0,0,0,127,11,9,0,16,7,10,7,10,20,16,81,0,8,0,0,8,0,0,15,47,0,0,15,103,15,0,145,5,0,150,0,33,0,31
"Eggerthellaceae_Senegalimassilia",14,39,21,139,0,0,0,0,50,0,10,0,0,603,0,22,43,0,0,0,0,0,0,412,45,0,220,0,0,0,105,48,0,0,14,36,11,29,0,0,0,0,0,46,193,0,83,67,0,0,132,0,54,0,0,0,42,0,0,115,193,0,51,0,0,0,0,0,0,9,50,0,21,40,0,59,42,5,25,0,101,0,0,9,0,20,0,55,0,0,13,0
"Atopobiaceae_Olsenella",7,0,0,43,0,19,0,0,0,0,0,0,8,0,0,0,18,25,21,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,8,0,0,5,0,0,0,0,31,0,0,95,0,0,0,7,241,0,0,0,0,46,28,0,17,0,17,56,51,0,5,14,0,0,0,4,10,0,37,7,30,0,0,5,22,0,108,0,77,64,0,0,8,0,0,0,0,0
"Acidaminococcaceae_Acidaminococcus",0,0,0,0,0,343,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,826,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,4,0,0,19,0,0,0,59,0,0,0,24,0,0,12,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae_Bilophila",9,0,60,0,14,0,0,21,20,34,18,238,0,108,59,9,0,73,19,0,7,0,0,9,0,7,0,0,29,39,0,41,0,0,0,0,0,69,0,0,0,0,25,0,43,50,14,48,199,0,0,0,18,0,33,0,0,8,0,289,20,0,34,14,0,9,0,275,28,124,0,9,51,5,11,6,0,0,8,0,229,0,7,10,30,20,33,60,71,16,67,19
"Enterobacteriaceae_Citrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,33,0,0
"Ruminococcaceae_Incertae.Sedis",27,5,16,32,36,17,22,30,18,70,7,61,28,360,18,43,62,5,25,0,48,13,106,84,195,95,12,238,8,29,64,13,111,30,5,0,46,50,12,58,71,22,0,49,9,27,13,0,46,0,27,0,46,138,0,63,27,67,38,8,71,7,0,0,14,32,0,10,4,0,21,13,34,0,0,6,12,0,15,16,4,9,82,8,15,12,11,6,60,0,5,7
"Prevotellaceae_Prevotellaceae.UCG.001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,160,820
"Peptostreptococcaceae_Terrisporobacter",0,0,0,37,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,10,0,8,19,3,0,132,33,0,0,26,23,0,0,8,0,0,0,0,0,12,0,0,0,29,0,0,0,0,21,10,22,0,0,0,0,15,0,0,0,0,0,0,0,0,9,0,0,12,47,20,0,0,0,0,4,96,10,49,13,0,0,0,0,22
"Barnesiellaceae_Coprobacter",0,16,21,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,4,5,0,0,50,0,0,13,0,0,0,0,44,0,16,0,0,0,0,3,0,0,0,0,5,0,0,30,12,0,6,0,0,0,0,57,0,0,0,8,0,394,0,0,0,63,0,0,0,0,6,0,2,0,0,0,11,0,0,80,0,0,0,5
"Peptostreptococcaceae_Romboutsia",0,0,0,128,0,0,0,24,0,0,0,0,264,0,0,0,0,0,0,0,0,0,32,58,0,0,0,24,0,0,0,0,0,299,12,0,0,0,0,0,0,0,0,0,38,0,14,0,0,0,10,61,0,0,0,11,2,0,11,0,0,0,0,6,0,19,0,0,0,0,4,0,0,0,0,47,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,5
"Prevotellaceae_Alloprevotella",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,25,26,0,0,0,0,0,0,0,0,194,500,0,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,166,0,0,0,0,0,0,0,0,185,0,0,0,407,0,0,894,0,0
"Ruminococcaceae_Anaerotruncus",0,0,0,0,0,0,13,21,43,0,0,0,2,0,10,3,2,0,0,2,0,0,0,0,0,36,0,11,0,0,0,0,39,0,0,0,13,0,0,10,235,0,5,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,7,53,0,0,4,0,0,0,48,3,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"Lachnospiraceae_Lachnospira",132,0,36,55,0,39,0,0,0,0,0,0,0,0,0,19,6,74,104,17,39,19,23,0,0,0,0,0,0,61,0,19,0,0,188,20,0,0,0,0,0,0,0,73,24,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,54,0,0,8,0,13,13,0,0,24,0,0,11,0,86,18,0,0,0,36,74,0,15,0,13,15,38,0,69,0,11
"Enterococcaceae_Enterococcus",61,0,0,0,0,0,0,0,0,0,0,0,49,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1151,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,7,0,0
"Succinivibrionaceae_Succinivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Gemellaceae_Gemella",10,0,0,0,0,0,7,0,45,10,0,0,0,12,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,2,9,0,0,18,0,42,0,4,137,0,2,0,16,2,34,0,352,0,0,0,0,0,27,61,17,0,0,0,97,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalobacteraceae_Oxalobacter",33,0,0,10,0,0,0,125,13,0,0,0,0,0,0,28,0,0,0,0,5,10,0,0,20,0,0,0,10,0,50,66,0,0,103,10,0,48,0,0,0,0,0,0,0,0,99,0,0,33,0,0,68,0,0,0,0,0,0,28,0,0,0,32,4,0,0,46,0,25,38,4,20,0,0,0,8,13,6,0,0,0,0,0,0,17,0,0,0,8,14,0
"Erysipelotrichaceae_Turicibacter",0,0,0,109,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,142,0,0,5,8,0,7,0,0,0,117,0,0,0,35,40,0,0,3,0,0,0,0,0,28,0,0,0,15,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_Faecalitalea",3,0,0,0,0,0,0,0,0,0,0,278,0,13,9,26,3,0,0,0,0,0,0,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,190,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,125,0,68,0,0,9,14,73,0,0,0,0,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.001",125,15,0,6,23,12,18,0,0,0,4,0,24,0,0,0,0,15,14,0,0,0,8,143,0,0,0,0,39,104,3,14,0,63,43,0,0,6,89,0,0,22,0,7,18,10,0,26,6,0,0,0,0,0,0,0,0,5,0,41,0,0,0,0,0,0,0,0,0,0,10,0,9,8,0,23,26,0,0,0,0,87,0,0,0,0,3,13,9,16,0,0
"Marinifilaceae_Butyricimonas",14,71,41,0,0,7,0,63,51,0,0,0,0,0,0,57,0,0,13,19,0,21,0,0,30,0,0,0,46,19,11,4,86,0,0,0,0,17,0,34,81,0,30,31,0,0,50,22,0,13,0,0,52,13,0,586,0,98,13,0,103,57,2,37,0,361,0,162,0,83,13,10,72,22,166,9,60,30,8,32,0,95,0,0,35,44,13,28,98,17,0,0
"Fusobacteriaceae_Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,14,0,0,113,0,0,0,0,0,0,89,0,2,0,32,0,0,68,0,84,0,0,0,31,24,399,179,0,0,0,0,80,7,5,0,0,0,291,0,0,7,669,0,0,0,0,0,0,0,0,0,0,28,0,0
"Erysipelotrichaceae_Erysipelotrichaceae.UCG.006",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,12,20,0,48,0,19,0,0,0,0,0,0,17,0,0
"Oscillospiraceae_Flavonifractor",0,0,8,0,0,0,84,0,0,25,0,3,0,4,32,0,11,12,0,0,0,0,0,4,53,15,0,0,22,0,0,0,6,0,0,0,0,20,0,34,0,0,0,0,0,0,8,0,0,0,0,0,0,22,0,124,0,0,7,0,16,0,15,0,0,0,0,0,11,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
"Ruminococcaceae_CAG.352",0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,14,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Eisenbergiella",0,0,6,0,0,0,0,0,14,33,0,0,0,0,4,0,0,0,0,0,0,0,0,0,88,8,0,48,0,0,0,0,10,0,0,0,2,0,0,291,186,0,0,0,0,0,9,0,0,0,0,0,0,23,0,539,0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,103,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,9,0
"Butyricicoccaceae_Butyricicoccus",0,0,0,19,15,0,21,0,0,68,0,29,6,28,23,0,15,10,12,0,0,36,0,10,0,25,13,0,25,0,0,0,0,25,18,0,0,0,25,0,0,7,12,0,363,20,0,6,0,0,91,0,0,21,58,0,0,8,206,104,51,0,0,0,0,0,0,0,9,0,0,32,0,14,0,12,11,0,11,0,0,0,3,36,4,0,17,5,0,0,33,0
"Ruminococcaceae_Negativibacillus",21,0,26,10,43,0,55,101,0,0,2,0,57,0,0,0,12,124,34,47,35,24,0,61,0,71,18,33,64,0,6,7,52,15,54,6,0,13,15,50,45,4,4,13,13,0,8,20,9,21,0,0,50,0,0,0,0,0,176,140,30,41,239,3,0,8,0,18,3,35,0,35,0,0,52,25,28,0,25,39,12,0,0,3,0,78,15,0,0,16,20,0
"Peptostreptococcaceae_Peptostreptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,5,0,0,0,12,0,282,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellaceae_Megasphaera",15,0,0,115,0,1063,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Oscillospiraceae_Oscillospira",0,7,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,0,6,0,7,13,0,0,7,13,0,0,0,0,24,0,132,22,0,0,3,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,19,10,0,0,0,20,35,0,3,6,0,19
"Ruminococcaceae_Fournierella",0,21,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,15,44,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,26,0,0,0,0,0,92,0,0
"Synergistaceae_Synergistes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,9,0,416,7,0,0,0,57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Streptococcaceae_Lactococcus",0,0,0,0,7,8,0,0,20,0,0,0,10,0,3,0,30,0,0,0,0,44,0,0,78,0,9,12,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,47,0,0,0,0,8,0,0,4,0,0,9,39,0,0,0,0,7,2,0,0,0,0,0,0,0,31,0,2,3,0,0,0,0,65,0,0,0,0
"Micrococcaceae_Rothia",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,27,0,0,4,0,0,7,0,0,3,34,0,3,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,6,30,0,21,4,58,4,0,14,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Lachnospiraceae_Howardella",12,5,0,0,7,0,0,46,0,0,15,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,26,0,0,0,14,0,0,15,5,0,29,0,0,0,0,5,21,0,7,0,5,0,0,0,0,12,0,0,0,24,0,0,12,0,0,0,28,0,0,0,0,0,10,11,16,6,0,0,7,6,0,13,0,0,0,16,0,0,0,0,0,0,0,5,0
"Lachnospiraceae_Lachnospiraceae.UCG.004",0,0,0,0,0,31,0,0,0,0,13,0,0,0,0,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,0,20,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,47,0,0,0,43,6,0,0,0,0,0,0,9,0,0,0,0,0,0,26,0,21,0,0,0,0,15,16,0,0,18,0,0,0,0,48,13,0
"Lachnospiraceae_.Bacteroides..pectinophilus.group",0,0,0,0,0,62,0,0,11,0,45,0,0,0,0,13,0,0,84,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Tuzzerella",14,0,8,0,0,0,23,0,0,8,0,4,0,0,40,0,0,0,0,0,6,0,5,0,6,336,3,0,0,0,20,0,0,0,4,5,0,4,0,17,0,0,0,0,0,7,0,0,0,0,0,0,8,6,0,7,0,0,0,0,31,0,12,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,5,0,0,0,0,0
"Oscillospiraceae_Colidextribacter",21,16,14,0,5,14,64,0,7,32,6,0,0,0,131,0,39,16,0,0,3,0,0,6,22,0,0,13,44,7,0,22,31,23,21,2,0,53,12,0,8,10,11,35,5,15,60,25,14,3,33,0,0,6,23,30,71,0,20,0,33,26,33,6,17,4,0,15,32,0,5,8,12,0,49,12,0,6,35,0,15,7,0,0,9,16,0,11,19,20,31,10
"Oscillospiraceae_Intestinimonas",0,0,16,0,0,0,14,0,2,0,0,0,0,0,20,0,0,0,0,0,0,2,0,8,93,40,0,10,0,0,0,0,37,0,2,0,0,6,0,50,20,0,0,0,0,0,0,2,0,0,0,0,24,0,0,7,0,0,0,0,0,0,4,20,2,7,0,33,4,0,0,0,0,0,146,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0
"Butyricicoccaceae_UCG.008",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,19,0,0,0,0,0,0,0,6,19,0,0,32,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,18,0,0,0,0,0,0
"Lachnospiraceae_Hungatella",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,23,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0
"Enterobacteriaceae_Klebsiella",0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,86,0,39,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,8,0,56,0
"Marinifilaceae_Sanguibacteroides",0,0,0,0,0,0,0,64,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,10,0,0,79,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Tyzzerella",0,0,0,0,0,0,0,0,0,57,0,0,0,94,0,0,0,0,0,0,0,0,12,0,45,0,106,0,0,0,10,0,0,0,0,0,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,4,0,0,24,0,0,0,0
"Actinomycetaceae_Actinomyces",0,3,7,0,4,6,21,0,54,0,0,186,0,131,0,0,18,0,0,23,0,6,17,76,13,20,12,18,0,8,20,6,0,5,0,0,0,0,0,36,6,0,0,0,0,27,14,5,8,74,0,75,32,5,16,0,0,9,36,10,63,19,3,0,0,0,8,19,11,0,0,28,0,7,0,0,0,0,0,69,5,0,7,0,0,0,0,0,0,0,0,0
"Anaerovoracaceae_Family.XIII.UCG.001",16,0,0,17,4,3,0,0,0,0,0,0,0,0,4,8,10,11,5,0,14,0,0,0,0,10,0,11,12,6,0,23,0,10,9,3,11,0,5,0,7,0,0,0,11,0,14,11,0,0,0,0,0,0,0,0,7,0,39,0,18,0,28,0,0,0,0,0,0,4,0,0,0,0,7,9,11,4,28,16,6,4,0,0,0,6,0,5,0,0,4,6
"Eggerthellaceae_CHKCI002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.FCS020.group",8,0,0,0,0,0,28,10,0,0,0,25,0,0,0,0,19,0,0,0,36,32,0,17,0,42,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,5,31,10,0,17,50,16,29,32,11,43,0,0,40,8,61,0,13,9,0,2,0,33,7,0,0,2,0,18,5,28,0,6,0,0,0,0,0,5,10,0,0,0,0,15,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,525,0,0,0,0,7,0,0
"Veillonellaceae_Allisonella",0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,64,21,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,39,0,29,0,6,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victivallaceae_Victivallis",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,9,0,0,0,314,5,0,0,3,0,0,0,0,0,0,0,6,15,0,0,0,0,0
