"","Adenoma10.2757","Adenoma11.2775","Adenoma12.2799","Adenoma13.2803","Adenoma14.2817","Adenoma15.2847","Adenoma16.2873","Adenoma17.2937","Adenoma18.2967","Adenoma19.2971","Adenoma2.2113","Adenoma20.2995","Adenoma21.3129","Adenoma22.3133","Adenoma23.3141","Adenoma24.3217","Adenoma25.3273","Adenoma26.3373","Adenoma27.3379","Adenoma28.3391","Adenoma29.3399","Adenoma3.2123","Adenoma30.3509","Adenoma4.2143","Adenoma5.2243","Adenoma6.2453","Adenoma7.2475","Adenoma8.2555","Adenoma9.2717","Cancer1.2355","Cancer10.2567","Cancer11.2573","Cancer12.2575","Cancer13.2579","Cancer14.2611","Cancer15.2613","Cancer16.2619","Cancer17.2625","Cancer18.2629","Cancer19.2633","Cancer2.2455","Cancer20.2667","Cancer21.2671","Cancer22.2703","Cancer23.2705","Cancer24.2727","Cancer25.2735","Cancer26.2763","Cancer27.2771","Cancer28.2777","Cancer29.2801","Cancer3.2513","Cancer30.2863","Cancer4.2521","Cancer5.2523","Cancer6.2535","Cancer7.2537","Cancer8.2543","Cancer9.2547","Healthy1.2027","Healthy10.3087","Healthy11.3123","Healthy12.3211","Healthy13.3241","Healthy14.3245","Healthy15.3247","Healthy16.3251","Healthy17.3257","Healthy18.3293","Healthy19.3339","Healthy2.2779","Healthy20.3341","Healthy21.3347","Healthy22.3363","Healthy23.3367","Healthy24.3403","Healthy25.3405","Healthy26.3407","Healthy27.3439","Healthy28.3499","Healthy29.3529","Healthy3.3021","Healthy30.3291.66","Healthy4.3023","Healthy5.3043","Healthy6.3061","Healthy7.3063","Healthy8.3073","Healthy9.3075"
"Lachnospiraceae_Tuzzerella",136,0,17,3,0,0,0,6,19,0,17,1409,13,0,0,0,0,0,918,0,0,147,0,5,0,0,0,0,37,0,0,1994,445,1069,12,0,1592,371,0,10,0,14,2154,1341,10,0,0,0,1343,0,0,0,0,175,7,11,1090,0,122,0,29,0,221,336,90,0,0,177,0,0,8,0,0,300,0,0,341,6,92,0,0,0,0,0,8,3,684,7,645
"Erysipelotrichaceae_Holdemanella",0,0,0,0,510,3,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,5,0,0,0,0,0,0,0,0,2501,0,0,0,0,2,1466,0,0,0,803,0,289,0,0,0,0,76,5628,1913,1396,1540,0,0,0,0,0
"Lachnospiraceae_Lachnospiraceae.ND3007.group",12,282,0,44,84,84,0,0,121,36,22,0,0,43,134,33,228,31,22,76,24,0,0,0,314,0,12,386,43,35,218,0,0,0,462,8,892,214,0,0,979,872,0,129,0,246,62,0,0,339,4,1724,239,286,2,97,189,0,0,0,293,276,0,31,0,194,0,0,65,757,7,249,173,10,199,391,64,0,8,0,340,109,1159,0,234,12,103,8,20
"Oscillospiraceae_NK4A214.group",6,2,0,437,186,354,0,0,0,632,297,0,43,141,7,17,1833,197,576,159,4,0,2,0,291,0,17,0,111,322,3981,0,0,0,2478,413,0,227,150,7,322,401,529,0,0,789,0,0,0,11,0,27,619,819,0,668,0,0,144,2581,21,0,13,0,1328,583,3,1091,141,504,306,281,10,96,281,92,0,342,273,4984,4080,38,67,42,103,2,0,0,0
"Prevotellaceae_Prevotellaceae.UCG.001",0,0,0,0,0,0,0,0,12,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,7,0,0,0,0,14,0,0,0,0,0,21,0,0,0,0,0,0,19,0,0,0,11845,0,6,0,0,0,0,5,0,0,0,0,0,0,13,0,0,2,0,0,0
"Barnesiellaceae_Barnesiella",0,901,0,615,0,19,381,7,11,0,0,0,260,636,0,198,64,137,0,313,0,0,11,0,232,0,217,0,3098,0,1145,0,0,284,108,11,99,0,67,0,0,4843,0,0,8,283,0,0,0,0,0,33,2258,0,0,3202,0,0,0,0,0,0,0,0,0,1008,0,4295,1255,593,0,839,309,0,43,358,414,2195,0,2482,791,164,0,11,119,0,0,0,4
"Erysipelatoclostridiaceae_Catenibacterium",0,0,0,0,0,0,0,0,54,0,0,0,0,304,0,0,93,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,175,0,0,256,0,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8090,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_.Eubacterium..xylanophilum.group",0,15,0,13,21,0,8,0,0,292,29,0,16,0,0,135,0,32,0,69,20,0,0,0,67,6,52,0,1725,364,363,0,0,26,4,37,0,277,106,0,224,3140,7,0,0,83,27,0,0,75,0,0,504,220,0,220,53,9,7,868,0,5,0,184,258,544,0,15,376,1646,64,903,12,0,142,46,0,0,114,831,554,63,171,50,232,0,0,0,0
"Oscillospiraceae_Oscillibacter",25,13,66,14,28,0,0,11,0,145,114,1571,140,6,31,8,27,21,21,78,98,23,74,0,47,13,14,26,146,45,56,1061,19,213,117,34,88,18,50,0,41,117,289,654,37,49,0,7,32,39,13,21,28,216,206,153,3,158,88,66,25,0,34,277,431,83,10,140,69,89,185,231,11,2,34,11,38,74,6,7,105,19,6,38,495,262,55,2596,210
"Prevotellaceae_Paraprevotella",9,0,0,0,0,4,0,0,0,0,0,1847,0,107,0,0,0,1548,0,0,0,8,0,0,743,0,0,0,0,0,0,12,0,0,0,855,0,0,0,0,7,0,0,0,0,466,0,0,19,0,0,1798,0,0,9585,951,0,20,0,0,1498,0,0,0,0,0,0,0,2335,0,0,0,0,858,0,797,0,0,0,0,0,4,0,0,889,0,0,0,0
"Lachnospiraceae_.Eubacterium..ventriosum.group",111,70,40,117,107,341,0,156,46,66,123,13,20,110,9,18,115,123,386,207,78,8,0,19,37,0,7,94,307,344,44,0,0,753,41,0,0,1206,130,0,15,41,20,468,0,1470,0,0,0,49,28,199,272,296,0,78,0,39,0,204,8,0,314,0,415,167,26,370,326,156,77,106,225,129,232,8,89,120,52,174,751,357,73,78,337,5,166,404,27
"Actinomycetaceae_Actinomyces",32,16,143,173,22,134,154,91,178,4,15,42,11,0,195,23,17,8,340,15,138,25,147,45,0,216,63,7,0,249,260,78,60,273,22,25,64,25,72,79,204,26,7,162,124,53,543,8,18,0,58,41,98,131,38,29,0,20,36,0,19,24,308,2,42,77,141,37,0,612,23,9,37,81,0,200,2140,131,35,0,77,126,99,0,9,7,511,23,230
"Erysipelatoclostridiaceae_Erysipelatoclostridium",7,65,424,152,69,69,95,190,0,6,159,91,6,0,233,18,0,9,54,18,299,63,37,537,0,657,0,52,540,16,0,555,59,0,4,0,133,16,58,725,32,0,108,3,426,20,16,105,99,39,146,62,2,235,62,11,140,50,15,119,0,0,150,1452,153,208,531,168,0,0,41,10,0,38,304,30,67,66,85,28,118,123,7,113,146,1743,898,274,181
"Lachnospiraceae_.Eubacterium..eligens.group",66,0,55,0,168,0,8,0,0,19,0,20,0,146,0,67,199,0,0,0,0,0,0,620,97,30,158,0,1446,159,45,0,100,134,45,18,0,85,0,409,187,734,57,195,0,14,10,0,0,0,0,38,0,157,0,110,0,0,0,0,0,0,0,0,0,293,0,70,94,135,506,0,0,68,40,221,0,0,55,67,1231,0,3495,22,1971,0,109,0,0
"Lachnospiraceae_CAG.56",339,0,0,67,64,0,0,0,0,177,6,0,0,156,0,0,14,247,0,0,30,22,0,0,22,0,7,120,140,4,24,0,32,80,0,12,0,0,0,0,0,211,0,0,0,250,5,0,0,0,0,329,600,59,0,12,34,13,0,0,282,34,0,0,0,65,0,0,133,488,223,0,730,0,30,0,738,0,0,42,44,604,378,61,279,0,0,0,16
"Enterococcaceae_Enterococcus",0,0,58,40,0,55,217,0,95,0,0,0,0,0,0,0,12,0,0,0,0,0,131,0,13,46,289,0,0,40,0,23,8,162,0,0,73,0,77,0,54,34,0,0,28,0,329,97,0,0,0,0,30,0,0,18,0,0,0,0,0,97,109,0,12,0,61,16,0,305,3210,0,0,0,0,290,757,0,0,14,0,20,0,0,0,0,276,0,0
"Oscillospiraceae_UCG.003",0,0,0,0,0,0,0,0,0,8,0,0,0,81,0,14,59,46,0,38,0,0,0,14,474,0,17,0,0,305,263,0,0,4,683,183,0,0,45,21,161,1183,0,0,5,51,0,11,0,119,0,9,70,10,361,1470,0,0,0,21,67,0,0,28,0,180,0,388,354,218,0,27,0,18,52,0,3,0,154,125,478,16,40,0,0,0,0,0,34
"Neisseriaceae_Neisseria",0,0,9,94,2,9,0,0,229,0,0,9,0,6,8,0,21,0,0,0,2,0,172,0,0,140,0,0,0,161,0,30,9,265,0,0,0,0,36,0,144,0,0,16,13,0,762,0,0,0,0,0,82,0,0,26,4,0,0,0,0,0,174,0,0,3,3,3,0,993,0,0,0,4,0,524,1856,5,0,0,7,5,4,3,9,3,716,0,0
"Oscillospiraceae_Flavonifractor",48,41,56,7,0,4,0,0,0,33,25,236,41,6,0,0,0,12,16,22,39,16,61,51,0,50,0,6,15,3,28,1088,6,88,40,0,185,19,26,21,17,15,331,1076,502,23,0,0,0,71,8,7,9,67,119,48,0,67,0,62,9,13,19,26,205,15,29,121,0,33,62,21,4,15,0,8,17,170,83,16,62,17,51,0,300,165,230,646,128
"Anaerovoracaceae_Family.XIII.AD3011.group",41,123,0,326,62,238,140,101,18,136,464,317,40,102,120,4,156,115,463,235,825,340,0,561,43,182,388,61,101,147,578,0,77,70,4,86,0,92,102,0,116,179,29,55,7,99,0,0,54,20,0,53,325,112,49,111,0,63,351,90,41,0,21,265,220,145,0,358,111,406,43,288,70,30,124,77,146,213,160,217,473,174,67,62,382,0,0,17,69
"Lachnospiraceae_Lachnospira",105,304,0,93,31,33,7,0,0,57,11,27,0,55,47,279,46,295,88,76,7,44,0,8,47,0,55,0,524,204,49,0,96,70,651,14,102,39,41,0,237,346,0,162,0,80,92,0,0,317,21,92,156,268,0,259,6,23,0,1111,61,7,8,517,7,133,118,72,47,822,213,449,0,0,41,0,0,127,12,109,237,129,472,38,323,146,0,124,521
"Butyricicoccaceae_Butyricicoccus",347,323,28,172,269,239,66,56,0,0,168,500,0,40,100,338,0,96,0,55,171,378,154,706,38,290,241,0,76,278,42,0,31,0,0,0,535,36,0,247,128,168,0,313,8,173,56,0,291,145,68,243,135,253,27,113,699,19,24,54,0,351,11,0,0,0,0,23,0,172,0,80,67,0,29,48,133,193,66,98,364,281,0,34,0,56,58,163,0
"Lachnospiraceae_Lachnospiraceae.UCG.001",11,0,155,32,34,8,0,0,0,0,38,0,31,75,15,0,3,262,143,0,33,20,8,0,18,11,0,25,347,158,11,9,5,0,293,79,5,0,0,0,397,271,0,0,14,0,11,22,0,0,5,254,55,218,0,80,0,4,0,147,35,0,0,0,0,4,5,17,208,362,2023,0,12,0,21,18,84,0,491,40,242,0,53,20,428,0,0,3,0
"Lachnospiraceae_Lachnospiraceae.FCS020.group",284,9,21,210,97,80,383,11,0,24,149,0,22,68,41,132,26,37,0,50,127,0,0,785,14,0,22,64,16,102,243,18,40,26,46,45,172,14,15,11,0,231,6,35,9,156,18,20,6,0,0,86,294,77,57,21,0,0,13,310,12,0,0,42,53,300,0,120,66,85,6,60,38,33,28,9,0,0,179,41,178,74,54,96,0,5,223,47,73
"Ruminococcaceae_Fournierella",9,89,200,140,0,168,7,62,0,52,87,240,7,9,0,0,227,27,103,50,118,39,75,0,11,1097,16,0,8,19,94,0,0,17,0,323,520,107,34,0,87,27,481,219,0,31,0,0,83,40,0,13,13,94,0,36,0,0,118,346,39,0,21,86,659,83,0,202,0,501,9,18,0,17,0,0,11,112,67,10,106,0,17,45,88,1353,827,121,50
"Desulfovibrionaceae_Desulfovibrio",0,30,0,0,0,0,0,0,0,0,190,0,0,46,0,0,89,2171,0,250,0,0,0,0,580,64,0,0,594,175,0,0,0,0,1791,809,0,303,0,0,0,185,0,0,0,39,0,0,0,0,0,0,0,199,1089,0,0,579,0,0,0,0,0,0,27,9,0,385,6,0,0,0,217,0,215,3,0,4,0,0,332,0,0,0,30,0,0,0,0
"Eggerthellaceae_Enterorhabdus",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,278,1122,0,355,0,0,5,0,2,0,254,0,0,0,0,0,161,258,0,635,0,0,15,0,0,0,0,0,45,0,912,0,0,0,0,0,0
"Oscillospiraceae_UCG.005",0,92,0,167,83,24,0,12,0,78,160,127,34,32,0,27,356,349,0,864,53,3,0,12,115,0,40,0,131,107,261,13,0,30,161,7,29,239,130,0,264,353,170,8,0,178,0,0,0,156,0,0,506,105,0,198,0,0,31,1670,109,0,0,13,99,807,0,334,121,639,112,203,0,0,855,43,0,0,51,402,348,11,276,14,677,208,0,0,136
"Lachnospiraceae_Marvinbryantia",55,95,6,93,0,340,240,32,0,124,125,183,0,167,56,46,93,101,22,35,33,0,0,814,107,0,25,63,840,135,217,0,112,0,17,109,79,0,95,0,0,193,0,7,0,220,0,0,0,4,0,603,218,265,57,66,10,56,0,118,43,0,427,0,143,218,0,154,148,154,110,613,90,126,80,0,0,0,3,138,703,73,72,35,119,0,0,24,0
"Ruminococcaceae_Negativibacillus",0,29,0,335,9,0,0,0,104,0,99,0,0,26,72,0,96,0,31,35,10,0,0,0,0,0,0,181,0,4,0,0,75,264,27,27,70,215,68,0,12,116,176,148,0,54,0,0,328,84,6,8,378,60,97,8,36,0,0,0,31,0,232,14,288,44,0,81,80,177,28,93,9,23,0,0,22,0,0,6,28,51,10,11,150,0,198,54,129
"Lachnospiraceae_Eisenbergiella",0,26,605,33,13,0,79,34,0,17,7,684,7,0,51,12,5,12,46,3,42,58,0,107,0,18,37,45,23,0,95,406,50,173,0,0,5,0,17,0,27,19,805,0,0,0,0,81,216,0,234,0,0,29,79,33,8,0,109,192,0,0,49,39,100,0,0,197,0,6,22,0,0,0,0,0,17,20,18,13,130,0,6,0,37,168,389,21,126
"Oscillospiraceae_Colidextribacter",36,4,19,190,31,0,0,19,15,60,121,396,23,25,75,23,45,88,26,91,19,7,0,291,17,16,7,9,0,37,44,12,7,87,217,47,135,47,62,39,478,194,221,322,0,82,7,0,17,80,7,13,228,731,120,161,0,0,3,42,67,0,46,1490,109,20,101,807,87,272,12,347,33,0,68,85,3,28,9,98,45,27,33,53,447,66,0,463,328
"Lachnospiraceae_Lachnospiraceae.UCG.010",0,30,0,0,8,4,60,0,9,16,0,213,0,14,2,21,14,26,63,11,3,8,0,0,0,13,2,0,0,68,121,570,19,249,63,79,0,29,43,314,137,505,162,102,0,107,0,0,7,297,31,72,113,13,267,18,0,0,0,181,20,0,22,179,103,59,0,8,35,114,48,423,182,7,24,8,9,55,50,365,85,449,14,0,493,0,234,110,111
"Lactobacillaceae_Limosilactobacillus",0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,19,0,0,111,0,0,0,0,0,0,0,23,0,0,19,0,0,0,0,0,0,5,0,0,0,2956,0,14,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0
"Ruminococcaceae_DTU089",30,0,0,305,104,75,109,221,0,12,34,102,47,0,41,0,0,23,78,0,0,0,16,7,0,95,13,762,8,0,113,58,42,148,0,0,52,12,38,0,85,0,0,368,0,4,0,0,139,10,28,0,4,87,13,6,0,0,11,16,7,0,24,19,182,54,0,48,21,22,6,18,0,20,6,0,11,22,0,54,0,0,6,0,78,25,0,146,38
"Streptococcaceae_Lactococcus",0,0,0,10,10,0,174,45,0,0,9,20,0,0,0,0,2,11,0,0,48,0,5,6,17,192,0,25,163,14,0,112,18,15,0,0,764,0,11,80,0,0,0,0,42,51,76,50,0,0,41,8,120,0,15,16,0,0,133,0,0,318,82,12,0,30,0,13,20,15,0,647,0,6,0,0,0,0,19,49,0,0,0,16,0,34,0,0,54
"Oscillospiraceae_Intestinimonas",24,0,63,0,10,0,43,9,8,133,229,44,25,7,0,0,33,0,140,119,14,28,47,0,6,17,13,12,55,102,91,669,0,12,9,176,0,138,79,6,73,114,258,153,15,0,19,7,17,23,0,21,301,309,91,206,56,239,45,183,11,10,0,411,258,40,0,15,67,69,31,74,0,63,94,14,0,29,67,20,385,30,252,41,190,189,126,232,25
"Lactobacillaceae_Lactobacillus",0,24,72,28,0,8,0,72,94,0,0,0,0,0,0,0,0,0,20,0,80,9,50,7,0,30,6,11,3,37,0,20,102,84,0,0,53,0,0,19,33,0,0,61,4,2,181,41,115,0,18,11,32,0,0,7,58,7,7,0,0,306,54,0,0,0,3,16,6,202,0,2,17,65,2,212,478,0,0,0,0,6,0,4,0,0,179,0,31
"Lachnospiraceae_Frisingicoccus",0,0,67,33,0,0,0,0,0,54,79,71,0,0,0,0,0,0,29,0,0,43,0,0,0,0,0,0,15,0,24,0,38,84,28,0,0,0,308,0,317,0,0,18,0,0,0,0,0,55,0,4,0,461,0,153,0,14,0,0,20,0,45,170,86,0,0,128,0,0,0,0,0,0,36,0,343,0,0,0,0,0,0,0,191,0,0,190,70
"Erysipelotrichaceae_Solobacterium",0,0,0,0,0,2307,0,0,0,0,0,0,0,0,28,0,0,89,6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotellaceae_Prevotella",0,0,0,9,6,0,0,0,5,100,2,0,0,0,3033,0,0,10,0,0,0,4,2,0,0,0,0,0,0,0,138,220,4,4,161,20,0,118,20,11,0,0,0,0,0,7,10,0,32,0,5,0,5,0,6,0,0,0,37,0,4,6,0,0,33,10,0,125,9,0,0,10,0,0,6,0,0,74,5,8,125,0,0,0,0,0,0,29,64
"Lachnospiraceae_Howardella",0,0,0,0,0,0,71,0,0,0,0,0,0,77,0,0,0,83,0,0,0,0,0,0,14,0,566,0,0,0,0,20,0,49,0,0,0,0,0,0,0,238,13,0,0,0,0,0,0,14,0,62,114,0,0,161,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,64,0,0,72,0,0,0,679,0,0,0,0,0,0,0,0
"Anaerovoracaceae_Family.XIII.UCG.001",35,57,0,0,0,0,98,20,0,7,35,0,0,4,3,24,37,12,0,15,0,0,0,103,28,0,0,21,0,76,29,0,40,11,17,0,0,44,0,0,33,32,4,50,0,33,0,0,4,29,0,0,26,47,0,13,0,0,0,0,12,0,0,117,0,89,0,0,8,59,459,48,0,0,45,22,97,0,96,21,99,42,53,33,20,0,0,52,0
"Synergistaceae_Cloacibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,33,0,14,0,0,0,0,0,0,6,0,229,11,0,0,0,0,0,956,0,10,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,43,0,376,0,0,0,0,0,0,0,0,0,5,0,2,9,0,0,0,0,7,149,0,0,15,0,0,95,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_Faecalitalea",4,23,0,0,0,0,0,56,0,37,4,0,0,0,0,0,0,0,0,4,49,0,0,0,0,0,0,97,351,0,0,0,0,25,0,65,398,31,0,0,2,0,0,613,0,0,54,0,6,0,7,11,4,79,4,0,641,7,0,0,0,0,0,62,41,0,158,6,0,0,0,0,0,5,33,0,49,0,0,0,0,0,0,0,8,0,5,0,424
"Anaerovoracaceae_S5.A14a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,21,0,0,0,0,42,0,0,0,0,0,0,1582,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Lactobacillaceae_Latilactobacillus",0,0,0,5,0,5,1265,3,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,10,0,0,0,0,0,158,0,0,13,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
"Lachnospiraceae_Sellimonas",0,0,14,56,0,6,0,15,0,172,13,32,0,0,0,0,0,0,176,0,251,0,17,5,0,429,0,334,16,0,0,270,106,88,0,32,93,81,0,0,0,0,0,15,0,0,0,0,43,0,59,0,0,422,42,12,7,57,41,7,0,0,0,235,16,0,39,25,0,0,0,0,0,162,0,0,0,10,0,0,0,0,0,117,17,0,0,131,166
"Erysipelotrichaceae_.Clostridium..innocuum.group",0,0,10,0,0,2,0,0,0,0,5,0,0,0,8,0,6,0,0,0,0,4,23,8,0,769,0,0,3,0,6,84,16,0,0,3,32,0,0,8,0,0,11,0,70,0,4,11,6,4,14,0,0,23,10,0,13,5,21,0,0,6,5,16,0,0,10,21,0,0,0,0,0,0,0,0,0,189,18,0,9,3,0,0,11,95,93,6,48
"Eggerthellaceae_Senegalimassilia",0,0,0,0,0,0,0,0,0,0,484,0,58,0,123,1566,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,144,89,0,0,0,0,0,0,363,0,0,276,0,0,77,55,0,0,0,0,128,0,0,0,0,0,0,0,130,0,0,0,0,0,0
"Eubacteriaceae_Eubacterium",0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,13,11,6,0,0,0,0,0,0,0,0,0,0,3,3,0,46,0,0,0,0,0,0,0,34,0,0,21,0,7,0,0,417,0,0,0,0,0,0,0,0,5,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1449,113,0,0,0
"Peptococcaceae_Peptococcus",0,0,0,0,0,0,0,0,0,5,2,0,0,0,664,0,3,0,0,7,0,0,0,0,12,0,0,0,12,0,7,0,0,0,0,4,10,0,0,0,2,0,2,0,6,0,0,0,0,23,6,0,25,0,0,577,0,0,32,0,0,0,0,0,0,5,0,5,14,0,0,51,0,0,23,234,0,0,0,0,0,0,0,0,25,0,0,0,0
"Lachnospiraceae_Tyzzerella",0,0,0,409,0,30,11,61,0,0,52,0,0,0,0,0,0,95,70,60,2,0,0,315,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,6,0,89,0,0,0,0,34,0,5,25,0,0,22,0,0,0,0,21,0,0,44,0,0,0,0,0,20,0,0,0,0,0,14,0,8,0,0,0,0,0,0,87,0,0,0,0,0,0,20
"Lachnospiraceae_Hungatella",11,0,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0,14,6,0,0,25,101,11,0,20,8,10,11,0,0,556,0,0,0,9,50,0,9,69,8,0,251,15,0,0,0,33,28,0,0,0,0,7,0,0,27,21,0,11,0,0,3,21,0,0,8,0,0,0,0,6,0,0,0,0,0,9,0,20,15,0,5,0,0,140,9,20,954
"Anaerovoracaceae_.Eubacterium..brachy.group",31,0,83,49,0,402,0,62,31,29,56,2,18,0,21,0,3,0,31,0,8,0,17,13,3,77,41,11,6,3,11,10,198,11,3,4,86,37,23,0,0,23,4,30,0,9,0,0,43,0,0,9,3,124,10,5,0,50,60,28,20,0,140,97,11,17,0,82,9,0,42,8,0,63,3,0,7,0,0,0,10,0,0,15,134,63,59,192,38
"Gemellaceae_Gemella",0,0,267,7,0,60,148,9,29,0,6,0,0,6,34,0,0,0,15,0,4,0,0,20,0,17,15,0,5,17,90,72,0,5,5,0,8,0,0,25,47,0,0,0,82,17,5,15,0,0,4,0,11,12,31,0,0,13,17,7,0,4,20,7,0,20,0,16,2,0,2,0,0,38,0,0,8,11,0,4,8,14,20,0,14,0,32,0,7
"Barnesiellaceae_Coprobacter",0,73,0,31,0,0,0,0,0,0,135,0,0,29,0,0,30,45,0,0,0,0,0,0,6,0,4,0,111,38,0,0,0,0,0,81,0,91,3,0,91,328,0,0,0,38,0,0,12,0,0,0,11,0,0,0,133,0,0,0,0,0,26,0,12,24,0,0,205,297,0,45,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,36
"Lachnospiraceae_Lachnospiraceae.UCG.003",0,0,0,61,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,53,0,0,0,0,202,0,0,0,447,0,0,0,0
"Lachnospiraceae_Shuttleworthia",23,0,0,10,44,0,0,28,0,271,36,0,10,0,0,0,50,0,102,18,40,0,0,30,0,27,37,0,0,104,0,6,0,0,0,0,0,11,0,0,0,13,0,8,0,67,0,0,0,18,0,0,0,0,11,47,8,0,0,0,50,0,98,39,29,0,0,5,9,184,0,7,141,0,0,0,0,25,36,110,306,0,0,44,181,0,0,85,0
"Family.XI_Parvimonas",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,27,101,0,2,0,8,0,0,0,13,14,0,1791,0,0,4,0,0,0,3,0,0,8,9,9,0,0,0,35,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2
"Marinifilaceae_Butyricimonas",0,0,0,19,0,31,0,0,0,0,42,0,152,154,8,0,8,12,18,0,0,0,10,0,17,0,0,40,445,251,42,0,6,0,0,76,46,0,0,0,0,269,0,0,0,18,0,0,0,0,0,6,94,0,94,371,0,0,0,0,0,0,4,0,0,78,0,832,376,0,0,55,77,2,61,7,31,0,72,0,39,0,27,0,24,1020,0,747,0
"Oscillospiraceae_Oscillospira",0,0,22,6,0,0,0,3,0,0,5,8,0,0,0,0,0,0,12,0,0,0,0,0,25,0,15,0,108,11,8,0,0,0,11,7,0,161,14,0,0,38,10,0,0,8,0,0,0,69,0,0,31,318,0,31,0,0,0,45,10,0,0,212,429,9,0,16,51,18,40,310,0,5,56,0,0,0,0,11,52,0,8,0,979,0,0,106,0
"Lachnospiraceae_Lachnospiraceae.UCG.004",44,0,19,0,0,0,0,0,0,0,0,15,0,0,0,32,0,5,0,4,9,22,0,32,0,0,0,0,0,8,0,27,0,0,65,0,0,3,0,0,0,75,0,38,0,0,0,0,0,135,28,0,13,6,19,0,27,14,0,53,0,26,0,667,0,13,0,0,0,196,11,35,0,0,0,0,0,18,6,0,0,0,59,9,26,0,0,0,9
"Rikenellaceae_Rikenellaceae.RC9.gut.group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"Ruminococcaceae_Paludicola",0,10,0,0,0,0,0,0,0,79,27,19,0,0,0,0,19,75,0,0,0,0,0,15,26,0,0,0,6,6,0,0,0,0,8,7,0,0,25,0,60,0,0,0,0,0,0,0,0,14,0,0,196,48,0,36,0,0,0,5,0,0,0,0,3,22,0,26,64,0,41,9,0,0,0,26,0,0,0,41,491,0,7,0,10,5,0,0,29
