"","ERR3446940","ERR3446965","ERR3446966","ERR3446967","ERR3446968","ERR3446969","ERR3446970","ERR3446971","ERR3446972","ERR3446973","ERR3446974","ERR3446975","ERR3446976","ERR3446977","ERR3446978","ERR3446979","ERR3446980","ERR3446981","ERR3446982","ERR3446983","ERR3446984","ERR3446985","ERR3446986","ERR3446987","ERR3446988","ERR3446989","ERR3446990","ERR3446991","ERR3446992","ERR3446993","ERR3446994","ERR3446995","ERR3446996","ERR3446997","ERR3446998","ERR3446999","ERR3447000","ERR3447001","ERR3447002","ERR3447003","ERR3447004","ERR3447005","ERR3447006","ERR3447007","ERR3447008","ERR3447009","ERR3447010","ERR3447011","ERR3447012","ERR3447013","ERR3447014","ERR3447015","ERR3447016","ERR3447017","ERR3447018","ERR3447019","ERR3447020","ERR3447021","ERR3447022","ERR3447023","ERR3447024","ERR3447025","ERR3447026","ERR3447027","ERR3447028","ERR3447029","ERR3447030","ERR3447031","ERR3447032","ERR3447033","ERR3447034","ERR3447035","ERR3447036","ERR3447037","ERR3447038","ERR3447039","ERR3447040","ERR3447041","ERR3447042","ERR3447043","ERR3447044","ERR3447045","ERR3447046","ERR3447047","ERR3447048","ERR3447049","ERR3447050","ERR3447051","ERR3447052","ERR3447053","ERR3447054","ERR3447055","ERR3447056","ERR3447057","ERR3447058","ERR3447059","ERR3447060","ERR3447061","ERR3447062","ERR3447063","ERR3447064","ERR3447065","ERR3447066","ERR3447067","ERR3447068"
"Enterococcaceae_Enterococcus",0,0,43,0,0,0,0,0,0,0,0,20,0,1705,0,0,0,0,0,0,0,0,7,0,0,0,0,0,32,0,0,0,0,0,0,0,0,4,6,67,0,2,0,0,47,0,0,5,231,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,11,45,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_CAG.56",0,0,10,0,0,0,0,0,30,0,0,14,0,75,0,0,57,0,17,30,0,0,0,41,0,10,15,54,30,11,0,0,0,0,0,37,0,29,460,0,64,0,19,0,25,141,110,17,0,0,0,0,0,29,18,0,107,0,0,0,0,0,0,0,0,0,0,138,19,47,0,73,0,36,0,0,0,0,62,51,0,111,40,21,0,52,34,0,0,0,24,22,0,0,0,76,11,28,0,0,0,0,38,170,0
"Barnesiellaceae_Coprobacter",22,0,0,3,0,0,0,0,0,30,0,0,0,83,0,0,5,14,49,0,38,0,0,0,54,10,2,4,19,0,0,12,0,41,0,0,136,0,0,0,11,0,140,0,0,0,0,51,0,0,53,0,61,0,27,0,0,21,0,25,0,23,37,224,0,223,0,0,15,0,50,20,18,24,0,0,220,27,18,376,88,171,3,4,70,0,0,40,85,77,0,28,20,54,0,23,0,46,0,0,8,0,0,8,26
"Synergistaceae_Pyramidobacter",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,454,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"Erysipelatoclostridiaceae_Erysipelatoclostridium",0,4,92,27,0,0,0,0,0,13,7,0,42,5,20,0,0,8,0,0,225,0,15,0,0,0,5,6,0,0,592,0,400,0,0,0,0,0,0,262,6,6,0,0,111,8,41,0,0,0,18,120,15,0,0,12,29,12,0,0,154,0,0,128,0,10,0,50,0,9,17,0,0,0,0,0,30,17,0,20,0,20,2,4,5,0,0,0,10,51,0,0,0,116,0,16,23,0,0,0,0,0,6,197,136
"Clostridiaceae_Clostridium.sensu.stricto.1",7,0,12,126,82,0,10,25,13,0,11,58,57,9,40,13,0,15,0,0,8,23,267,118,0,0,6,0,21,0,21,142,35,249,58,0,4,0,152,10,61,4,31,16,0,0,44,38,78,82,0,0,23,103,97,0,82,3,0,0,31,12,0,0,64,0,111,12,70,0,129,69,52,54,28,76,0,36,5,0,0,19,52,470,325,359,407,191,22,38,242,0,32,0,16,0,148,24,120,15,15,3,741,26,94
"Peptostreptococcaceae_Romboutsia",0,14,0,0,19,0,0,6,15,0,5,13,0,0,0,0,0,7,19,0,0,0,77,0,0,0,18,0,0,4,11,34,22,58,8,16,0,0,0,0,6,0,0,0,0,0,38,0,34,71,0,0,16,11,0,0,12,0,0,0,14,48,0,0,0,6,63,0,0,0,14,17,0,0,0,0,0,0,15,0,0,48,1143,30,258,0,77,50,4,20,300,21,0,0,0,0,31,20,68,13,0,0,283,41,108
"Prevotellaceae_Prevotella",0,32,0,0,0,111,56,608,0,0,5,0,0,6,0,31,0,0,239,4,0,0,0,0,0,0,0,0,0,115,0,0,0,0,52,242,0,1219,419,20,0,12,0,0,0,0,0,1452,36,192,0,0,0,414,608,0,0,0,0,0,0,0,1362,0,684,0,46,105,0,803,0,0,23,0,75,246,0,8,76,0,0,0,47,0,0,9,0,0,0,0,645,0,0,0,2377,0,0,35,1061,404,408,1031,2529,0,0
"Enterobacteriaceae_Citrobacter",0,0,0,874,0,0,0,0,137,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,38,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,21,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_.Ruminococcus..gnavus.group",0,0,0,211,14,0,0,0,0,0,0,0,78,21,48,0,0,0,27,0,87,0,62,0,0,0,0,108,0,0,338,0,196,67,0,0,0,0,0,204,15,10,0,0,37,0,0,0,0,0,0,375,22,0,0,0,0,0,0,0,72,0,0,755,0,40,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,8,67,13,0,417,0,0,0,0,18,0,20,0,0,283,0,0,0,0,0,0,0,87
"Oscillospiraceae_Oscillibacter",74,79,41,0,0,15,0,34,25,0,13,0,0,108,0,0,20,41,17,0,216,7,79,13,8,0,8,11,26,10,151,13,74,41,23,41,0,8,0,0,17,74,40,37,61,25,0,30,0,11,15,0,31,0,6,21,21,5,8,27,150,32,5,51,0,79,3,22,0,23,46,0,52,14,16,0,164,28,0,66,9,31,5,0,43,10,47,6,13,101,7,26,8,7,0,0,96,35,3,0,47,5,50,17,0
"Erysipelotrichaceae_Solobacterium",0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,801,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,12,0,0,1010,33,0,0,0,0,0,0,0,0,0,0,44,15,0,0,0,39,32,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,52,0,0,30,81,42,0,0,6,0,0
"Desulfovibrionaceae_Bilophila",0,104,15,0,21,0,6,18,17,35,12,0,0,45,0,34,115,25,0,8,0,0,141,45,70,28,9,0,4,47,0,0,0,31,43,38,168,0,0,168,84,0,41,216,0,42,39,85,0,24,59,0,100,0,0,64,9,5,146,47,0,180,47,82,0,98,0,82,0,10,104,104,6,50,0,0,109,36,131,190,174,30,10,74,161,55,20,71,117,90,0,108,266,0,0,0,0,37,6,0,60,13,0,0,0
"Veillonellaceae_Veillonella",19,0,0,170,0,0,8,0,143,0,10,0,0,61,0,0,6,0,0,20,0,0,9,16,0,0,0,0,64,0,0,12,0,1015,0,0,115,55,21,0,0,0,0,0,3,0,0,534,26,0,0,0,9,0,0,0,0,0,0,5,194,0,10,1234,0,0,45,0,0,0,34,18,0,0,52,23,0,0,13,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,83,31,0,70,0,13,28,9,0,0,793
"Prevotellaceae_Alloprevotella",0,0,0,0,0,0,37,1044,301,0,0,166,0,0,0,288,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,474,2,0,0,245,0,0,0,8,0,618,1349,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,9,0,0,0,141,0,0,0,262,0,47,0,0,0,76,0,306,64,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,1091,0,0,0,0,249,695,0,0,0,0
"Porphyromonadaceae_Porphyromonas",0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,2,0,0,0,0,0,0,177,37,0,0,0,80,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1347,0,0,61,0
"Lachnospiraceae_.Eubacterium..xylanophilum.group",0,20,0,0,0,0,0,0,32,39,6,12,0,0,2,0,17,47,7,9,8,3,17,0,3,9,7,0,173,59,0,0,0,0,6,0,37,82,0,0,24,4,0,35,12,11,12,47,10,0,68,0,42,2,12,0,21,9,19,0,30,8,0,0,0,0,11,72,38,39,21,0,10,35,55,4,0,12,49,94,5,0,0,29,50,0,25,60,0,0,0,12,0,10,7,122,74,0,38,0,4,4,11,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.001",0,0,0,0,0,0,19,19,128,0,0,11,0,0,0,66,59,5,10,0,0,11,40,9,6,28,46,0,110,13,0,20,0,16,0,0,17,37,0,0,103,0,0,0,0,17,0,0,0,0,16,0,16,13,0,0,0,0,7,0,0,0,0,0,9,0,0,126,59,23,86,67,36,14,12,40,0,6,0,12,0,0,0,48,0,16,0,0,0,0,34,0,0,28,10,17,5,0,86,44,24,38,0,47,0
"Oscillospiraceae_Flavonifractor",18,0,0,37,0,0,0,148,10,0,0,0,9,0,5,0,0,0,0,0,36,0,30,0,0,4,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,8,11,13,28,0,0,29,0,0,0,25,0,0,3,5,0,12,0,0,252,5,0,131,0,30,0,0,0,0,19,0,0,0,0,0,141,0,5,53,0,10,7,0,0,0,8,0,0,17,0,0,9,6,0,0,0,0,0,0,32,0,14,0,12
"Family.XI_Parvimonas",0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,49,6,6,7,0,0,0,5,0,0,7,0,7,4,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,202,0,26,10,0,0,5,3
"Peptostreptococcaceae_Terrisporobacter",0,0,0,48,39,0,0,0,29,0,0,0,0,0,0,0,0,0,51,0,0,48,41,8,0,0,0,0,79,8,0,73,0,8,0,0,0,0,0,0,23,24,9,0,37,47,47,0,54,0,0,0,10,0,15,0,32,0,0,0,0,0,0,0,0,0,55,13,23,0,7,16,9,0,0,27,0,0,0,0,0,0,109,54,0,76,0,170,0,23,19,0,45,0,7,0,0,0,34,0,0,0,67,0,361
"Lachnospiraceae_Lachnospira",105,95,0,0,0,0,6,0,179,167,0,30,0,13,0,0,48,29,5,0,0,34,46,154,0,41,0,42,130,89,0,25,0,203,21,0,0,0,0,0,154,0,48,123,0,0,0,0,0,0,40,0,0,12,18,47,0,0,11,0,0,0,0,0,31,56,0,46,85,162,434,42,16,0,40,0,39,0,13,7,0,49,102,17,0,219,33,380,60,48,335,23,0,114,117,195,265,0,112,43,0,19,0,32,0
"Succinivibrionaceae_Succinivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
"Veillonellaceae_Megasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,0,0,0,115,0,16,0,0,0,0,28,0,0,0,56,0,0,0,0,0,62,0,0,0,0,7,262,0,0,0,0,0,0,20,0,0,35,0,125,0,0,0,0,0,0,9,63,0,2072,30,0,0,0,0,1893,0,0,0,0,0,131,0,37,5,0,0,0,0,0,0,0,0,346,136,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.010",5,10,17,33,0,0,11,9,8,28,23,0,0,12,0,0,0,0,379,12,0,0,0,6,0,9,0,36,0,0,0,0,0,67,0,35,145,16,0,0,4,0,11,0,0,0,11,6,0,0,10,12,37,16,6,0,0,0,20,65,195,0,36,0,58,46,0,53,8,52,2,36,7,8,0,0,0,105,17,125,19,63,0,10,14,12,0,9,0,7,0,12,0,0,23,101,4,39,9,9,32,16,20,0,36
"Monoglobaceae_Monoglobus",42,87,22,24,46,0,14,0,64,35,58,6,34,43,18,0,0,11,8,11,154,8,72,5,18,46,21,12,44,31,0,0,0,22,20,125,49,26,13,0,37,0,60,45,36,70,43,89,32,2,54,375,31,44,65,0,9,6,0,0,3,22,41,0,49,24,38,191,13,59,59,28,30,0,10,68,39,36,30,72,0,50,0,12,45,19,34,11,0,13,0,0,0,76,8,169,14,18,38,37,0,12,0,62,0
"Oxalobacteraceae_Oxalobacter",0,34,0,0,63,0,13,0,42,0,0,0,9,0,0,0,13,23,31,0,0,18,0,0,0,0,0,0,40,16,0,57,0,0,49,0,7,0,8,0,19,0,0,0,40,0,6,0,0,45,25,0,24,0,0,0,0,0,0,12,0,0,35,0,0,0,0,0,0,0,0,20,83,11,93,24,0,17,0,0,0,39,13,18,48,0,122,0,0,0,9,0,0,0,29,15,0,72,38,7,57,0,0,0,0
"Lachnospiraceae_.Eubacterium..ventriosum.group",34,0,63,0,5,0,0,0,18,7,0,0,0,33,0,0,15,24,36,33,44,28,6,0,32,9,11,63,24,0,0,11,0,0,0,0,67,0,0,0,0,0,91,0,22,44,45,7,0,0,7,32,29,70,19,0,31,0,0,0,9,14,7,0,40,46,0,17,0,0,7,17,122,45,98,13,11,0,94,0,35,71,0,63,14,26,0,9,0,22,0,0,13,0,538,278,79,8,0,16,0,6,0,0,3
"Lachnospiraceae_Sellimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,290,0,260,0,0,0,0,0,0,4,0,0,6,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Erysipelotrichaceae_Turicibacter",0,0,0,0,5,0,0,11,4,0,0,0,0,0,4,0,5,2,0,0,0,64,0,0,0,0,3,0,10,0,0,25,0,0,0,0,0,0,0,0,0,0,111,7,6,10,38,216,5,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,3,0,16,0,0,3,2,12,0,0,5,0,11,0,0,52,273,0,27,8,9,16,0,34,12,0,0,0,22,0,23,21,0,0,30,0,32
"Erysipelotrichaceae_Faecalitalea",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,29,0,0,0,0,0,434,0,0,0,18,0,0,0,5,0,0,0,1114,0,0,9,0,0,0,3,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,249,0,0,0,0,21,0,43,0,0,6,0,0,0,13,8,0,0,313
"Marinifilaceae_Butyricimonas",0,0,36,9,5,39,70,52,35,0,44,0,14,179,5,71,199,63,41,0,0,0,0,25,38,14,46,0,139,95,0,249,0,230,101,227,7,49,15,3,60,278,30,116,0,194,397,21,172,57,0,28,275,16,78,0,123,31,19,8,57,33,30,0,15,0,72,0,0,20,241,213,48,97,21,28,0,86,93,0,64,103,0,54,0,212,68,83,32,0,47,280,44,0,39,23,196,303,40,36,381,27,0,119,0
"Atopobiaceae_Olsenella",0,0,0,23,0,0,13,0,0,0,21,0,0,52,0,39,5,99,15,0,52,0,0,0,38,0,0,73,0,9,0,0,0,0,0,20,0,0,29,3,0,183,27,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,19,0,0,47,0,0,0,0,59,17,0,0,0,0,21,0,180,0,0,0,0,0,42,0,0,0,18,9,520,0,0,0,24,8,0,0,8,0,0,134,41,107,19,20,0,0,0
"Lachnospiraceae_Lachnoclostridium",27,140,56,16,16,0,0,37,47,0,7,16,166,8,18,0,42,5,46,0,295,0,24,0,0,15,0,137,23,34,1428,29,716,109,9,0,29,0,120,704,3,68,48,0,55,43,7,0,0,0,15,158,21,0,0,27,0,5,0,9,214,12,0,1265,12,108,61,49,36,107,183,21,46,0,28,0,409,55,193,15,8,57,278,52,5,29,42,40,0,40,22,11,1758,139,27,52,42,17,0,29,133,33,62,56,29
"Ruminococcaceae_Incertae.Sedis",24,23,9,28,38,0,6,29,35,5,56,10,8,5,0,21,13,40,20,12,70,17,65,6,7,8,18,55,0,6,164,23,140,61,4,12,0,2,32,38,14,61,8,51,289,38,38,22,32,44,7,9,53,0,25,102,42,422,2,73,135,79,7,56,0,27,55,5,3,16,41,5,6,34,0,21,60,6,45,35,62,30,4,0,155,25,51,4,13,0,0,10,0,8,0,18,30,30,13,44,8,109,7,41,135
"Lachnospiraceae_.Ruminococcus..gauvreauii.group",0,30,0,0,183,0,0,0,18,0,36,0,12,17,0,64,40,0,9,84,0,0,21,0,3,33,40,37,34,13,0,28,0,71,45,55,0,0,52,7,0,213,41,0,0,63,52,48,0,50,53,107,121,0,74,0,31,17,0,0,0,0,56,0,30,387,0,0,0,0,9,0,0,0,52,33,0,59,282,296,0,0,220,0,77,0,0,17,0,33,28,0,0,153,0,18,31,0,19,29,12,26,55,149,0
"Erysipelotrichaceae_Erysipelotrichaceae.UCG.006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,18,0,0,0,0,54,95,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,25,0,0,0,0,0,133,91,0,0,0
"Lachnospiraceae_Lachnospiraceae.UCG.009",0,0,3,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,41,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,98,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridiaceae_Coprobacillus",0,0,0,0,40,0,0,0,0,0,5,0,55,0,18,14,0,0,0,0,0,0,0,0,54,0,0,0,0,0,7,0,3,0,19,0,0,0,0,69,0,18,0,0,0,54,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,88,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"Ruminococcaceae_Negativibacillus",36,48,13,23,127,0,22,22,45,0,62,22,17,8,14,0,0,17,64,0,32,9,37,4,15,0,8,0,0,0,34,24,21,11,37,0,0,6,300,5,391,42,26,8,80,6,0,4,51,4,0,0,0,29,0,0,19,148,57,6,53,194,0,85,39,60,69,11,16,0,51,0,2,9,16,23,0,132,127,10,57,189,25,29,73,0,28,15,16,111,0,12,0,19,8,37,30,51,27,14,0,22,29,55,0
"Enterobacteriaceae_Raoultella",0,0,0,23,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,16,0,0,0,0,0,0
"Erysipelotrichaceae_.Clostridium..innocuum.group",0,0,0,8,24,0,0,0,0,0,0,0,15,0,9,0,0,0,80,0,25,0,4,0,0,0,0,0,0,0,277,0,175,0,0,0,0,0,7,259,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,13,52,0,0,9,0,0,203,0,3,0,0,0,0,4,25,0,0,0,0,64,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"Lachnospiraceae_Howardella",0,8,0,18,0,0,9,13,0,0,16,7,0,50,0,8,0,0,15,0,0,7,0,0,0,0,18,0,5,0,0,0,0,0,8,0,11,9,37,0,0,9,0,14,0,0,40,13,12,4,0,0,0,15,15,0,0,0,0,6,0,0,41,0,0,0,8,0,5,0,0,0,14,0,0,9,0,18,8,0,0,0,109,0,0,0,0,8,0,7,0,0,0,0,0,0,21,13,5,22,0,16,25,14,0
"Oscillospiraceae_Colidextribacter",53,72,43,81,62,0,14,5,20,16,25,0,61,234,0,15,13,32,90,2,250,5,46,10,21,10,5,0,5,10,22,17,29,4,15,78,6,21,31,3,24,38,15,22,25,38,4,29,10,23,11,7,0,18,0,22,5,3,2,40,119,35,14,95,33,33,18,35,10,33,82,22,12,19,50,9,208,17,9,26,45,20,0,7,39,5,50,5,9,67,24,19,16,31,16,28,12,51,12,10,25,43,23,14,16
"Ruminococcaceae_CAG.352",0,49,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,14,2,0,0,23,0,173,0,0,0,30,0,0,0,31,5,0,0,73,0,0,122,0,0,80,0,101,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,0
"Eggerthellaceae_Senegalimassilia",4,11,50,0,0,0,10,0,0,0,0,0,0,52,0,100,98,0,50,7,0,8,0,0,0,20,35,169,22,16,0,85,0,91,40,127,0,21,0,0,0,65,0,0,0,0,113,476,61,59,0,376,0,34,0,69,0,0,40,25,0,51,0,0,22,0,38,0,0,3,0,0,47,0,143,0,0,0,0,0,0,269,518,28,0,30,0,24,19,0,10,26,0,0,9,0,0,298,0,40,13,9,0,175,47
"Anaerovoracaceae_Family.XIII.AD3011.group",9,78,16,23,195,0,49,18,24,3,32,0,0,20,0,51,0,16,61,23,34,9,7,5,10,0,40,13,12,0,0,20,0,0,53,10,0,5,43,73,3,38,8,4,24,27,21,31,155,69,40,46,21,12,60,0,2,110,73,19,102,59,19,0,17,0,174,5,4,0,13,75,68,4,127,35,85,35,22,51,44,32,20,79,127,32,82,7,4,5,13,23,0,7,19,151,18,87,17,41,67,52,20,34,0
"Lachnospiraceae_Tyzzerella",0,0,0,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,84,0,18,30,0,31,0,0,0,23,0,0,0,0,0,0,0,56,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,7,0,0,0,0,14,0,70,0,0,0,11,0,0,28,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae_Ligilactobacillus",0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,7,0,0,0,0,27,0,0,311,0,0
"Fusobacteriaceae_Fusobacterium",0,17,0,21,0,0,0,0,0,0,0,0,0,10,0,0,0,0,89,0,0,0,0,0,0,7,0,0,0,163,0,0,0,0,0,2,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,20,0,19,265,0,0,12,319,0,0,0,0,63,0,0,0,11,0,0,5,5,0,4,0,0,0,0,8,11,0,14,0,9,0,42,22,0,77,0,808
"Eggerthellaceae_Enterorhabdus",0,0,0,17,0,0,11,0,0,7,0,0,0,7,0,47,0,0,0,0,16,0,0,12,11,0,37,0,0,0,0,0,0,5,27,25,0,0,44,38,0,37,0,0,0,0,21,0,83,16,0,0,0,22,0,0,0,0,8,0,0,32,10,0,10,0,78,0,0,0,0,13,0,0,18,11,0,0,27,15,32,0,91,0,0,0,0,0,10,0,22,0,0,0,0,0,8,67,11,0,4,10,0,48,0
"Lachnospiraceae_Lachnospiraceae.UCG.004",70,0,0,32,0,0,0,0,0,7,0,2,0,10,0,0,31,7,0,0,0,0,0,3,0,20,0,20,0,12,0,0,0,36,0,0,0,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,28,30,0,0,50,69,68,0,20,0,0,0,8,0,24,0,2,0,0,0,0,19,2,42,24,0,103,16,0,15,40,100,23,23,0,28,15,68,0,0,173
"Lactobacillaceae_Latilactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,18,0,13,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,10,0,0,0,0,0,0,0,3,0,0,0,31,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae_Limosilactobacillus",0,0,0,0,0,24,48,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,3,0,384,0,0,0,0,0,63,0,0,0,265,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,6,0,243,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccaceae_Butyricicoccus",4,0,9,44,0,35,0,13,0,5,58,0,13,11,0,17,17,12,0,14,17,0,14,0,7,0,11,63,6,7,40,11,33,25,17,24,63,0,76,21,18,22,15,17,4,13,18,48,22,0,35,35,0,26,68,14,14,0,0,0,12,10,0,118,6,60,0,28,0,20,22,10,0,4,15,24,15,0,49,29,7,57,49,21,20,9,7,0,0,22,0,17,0,32,12,41,0,0,17,0,0,9,31,61,44
"Anaerovoracaceae_Family.XIII.UCG.001",0,20,0,0,4,0,0,0,0,0,13,5,0,0,0,9,0,17,7,0,0,0,0,0,7,4,0,0,5,0,0,15,0,0,0,23,4,0,31,11,6,12,7,6,0,0,6,8,0,11,0,6,4,8,18,0,6,12,4,0,24,14,0,0,14,0,6,24,5,10,0,10,0,0,0,10,14,9,31,16,22,15,2,0,5,8,19,0,0,14,0,0,0,0,0,0,4,8,12,20,0,6,0,20,0
"Lachnospiraceae_Eisenbergiella",11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,61,0,7,0,12,0,0,0,0,0,15,0,12,0,0,0,0,0,0,442,0,8,0,9,96,8,0,49,0,0,0,0,24,0,0,0,0,73,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
